KPI|TARGET DATE|KPI STATUS (15th FEB 2018)|% ACHIEVEMENT
"Membuat SOP, manual kerja dan carta alir perniagaan untuk pentadbiran, pemasaran, operasi & kewangan"|30th Nov 2017|"Complete SOP, flowchart and documentations for HRM, Admin & Operations are now available"|100.00%
Menyediakan akaun perniagaan syarikat|30th Nov 2017|"The company’s account is ready & currently being updated regularly according to standard accounting procedure.  The system is able to generate invoice, receipt & company’s financial report at a click of a button"|100.00%
Mencipta logo produk & perniagaan|30th Nov 2017|The company & product logo is now available - done through a freelancer in fiverr.com.|100.00%
Menukar pembungkusan & pelabelan produk,30th Nov 2017,Found a packaging supplier but have not engaged yet due to financial constraint  (target by 31st Mar 2018)|50.00%
Membuka restoran|28th Feb 2018|"Started opening a premise on 10th Feb 2018 at Lot 2837, Jalan Gombak, 53000 KL selling various types of noodles."|100.00%
